Date,Open,High,Low,Close*,Adj Close**,Volume
12/27/2022,"1,803.40",1826.30,1803.40,1814.80,1814.80,69.00
12/23/2022,"1,794.30",1802.80,1794.10,1795.90,1795.90,49.00
12/22/2022,"1,818.10",1818.10,1785.00,1787.00,1787.00,411.00
12/21/2022,"1,817.40",1821.40,1814.40,1815.90,1815.90,35.00
12/20/2022,"1,786.50",1821.40,1786.50,1815.90,1815.90,51.00
12/19/2022,"1,791.60",1796.30,1785.60,1787.70,1787.70,79.00
12/16/2022,"1,777.90",1791.40,1777.90,1790.00,1790.00,206.00
12/15/2022,"1,801.00",1801.00,1774.80,1777.20,1777.20,421.00
12/14/2022,"1,810.80",1812.80,1797.90,1807.50,1807.50,1074.00
12/13/2022,"1,780.70",1819.80,1780.50,1813.90,1813.90,205.00
12/12/2022,"1,787.30",1793.90,1777.70,1780.50,1780.50,85.00
12/9/2022,"1,794.90",1804.30,1791.10,1798.10,1798.10,125.00
12/8/2022,"1,782.00",1790.90,1782.00,1788.70,1788.70,713.00
12/7/2022,"1,769.30",1790.30,1769.30,1785.50,1785.50,422.00
12/6/2022,"1,768.60",1779.40,1767.90,1769.30,1769.30,105.00
12/5/2022,"1,795.70",1808.00,1764.30,1767.40,1767.40,1713.00
12/2/2022,"1,802.00",1802.30,1779.40,1795.90,1795.90,1725.00
12/1/2022,"1,768.70",1803.70,1768.70,1801.10,1801.10,1053.00
11/30/2022,"1,748.10",1769.40,1745.10,1746.00,1746.00,3339.00
11/29/2022,"1,739.50",1758.20,1737.90,1748.40,1748.40,19416.00
11/28/2022,"1,741.30",1741.30,1740.10,1740.10,1740.10,132767.00
11/25/2022,"1,753.00",1757.90,1749.20,1753.30,1753.30,216.00
11/23/2022,"1,736.50",1750.90,1736.50,1744.90,1744.90,39.00
11/22/2022,"1,741.70",1741.70,1738.30,1738.30,1738.30,15.00
11/21/2022,"1,739.00",1744.90,1736.10,1737.40,1737.40,544.00
11/18/2022,"1,763.30",1763.30,1747.60,1751.90,1751.90,414.00
11/17/2022,"1,763.00",1763.00,1756.00,1760.80,1760.80,18.00
11/16/2022,"1,776.60",1778.90,1773.00,1773.00,1773.00,303.00
11/15/2022,"1,770.80",1773.80,1769.90,1773.80,1773.80,57.00
11/14/2022,"1,762.00",1773.60,1761.60,1773.60,1773.60,358.00
